,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Albania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1060.684602,1099.520368,1110.53745,1101.374549,1065.267404,1059.865744,1091.482476,1054.068855,1013.391112,1092.264899,977.7655298,688.2659917,643.9187325,715.402971,786.2523727,901.8913013,992.7905513,897.0394522,1014.637688,1119.216517,1201.819751,1285.181694,1319.486177,1389.9734,1466.309431,1541.037335,1612.298447,1703.194727,1799.164349,
Algeria,1280.384828,1085.414711,855.9480624,1128.41578,1170.323996,1215.015885,1127.61438,1200.55832,1291.864182,1359.491207,1436.129879,1235.664065,1527.647412,1538.307958,1603.350963,1632.29612,1714.071608,1747.672397,1848.450199,1923.301713,1876.075339,1869.595027,1924.553463,1963.290403,2008.439753,2020.174524,1970.04379,1902.575396,1833.908256,1865.731363,1833.951569,1767.983969,1757.413153,1681.845549,1631.862416,1661.548776,1699.926992,1691.814055,1752.263467,1782.766315,1796.038877,1816.05198,1873.574615,1973.245744,2045.024625,2117.369423,2127.536644,2158.568837,2189.998224,
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20536.04152,20442.54392,20782.79674,21580.74426,21272.87971,..,
Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,773.6088799,773.1610642,813.1010179,837.6094269,819.3414265,793.8746568,760.0149729,684.2032253,497.9198411,498.7451035,534.2102359,577.9711353,608.0152918,633.6369689,637.7632162,639.3199239,640.3543844,710.9225831,711.7795943,767.4111492,898.7451534,1036.180765,1213.266852,1337.606868,
Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7889.807111,8203.688815,8381.692952,8531.280229,8673.022534,8610.652402,8630.567887,8697.29215,9014.059886,9529.720627,9841.938323,10943.10486,11892.01925,12047.31813,
Argentina,5236.779417,5432.860628,5301.995897,4943.277199,5362.290424,5842.322592,5721.282136,5821.773842,6017.805982,6506.574025,6605.904497,6872.601586,6873.949714,6953.039722,7218.522596,7099.7002,6844.41264,7201.712854,6768.354607,7344.780575,7534.588178,7002.47751,6561.368886,6721.01448,6774.158033,6171.984704,6562.688709,6655.908849,6391.585739,5827.302148,5606.857227,6229.319483,6877.862402,7186.371242,7505.384092,7197.174178,7497.732214,8003.963478,8210.796265,7840.713757,7693.923442,7279.966276,6425.130369,6929.105483,7486.145319,8097.418686,8699.009376,9359.588686,9893.811398,
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,795.3789052,708.846534,419.9751209,392.0592362,423.2563248,461.9199337,496.8774537,519.5018297,562.0491271,584.0815316,621.4828107,683.4527329,774.7966739,883.4494825,975.6122753,1110.105331,1255.185395,1425.299417,1519.925876,
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12720.35688,15071.75786,16461.5608,18150.78178,18216.87663,18012.65308,17699.84891,17792.07655,18945.86701,18548.09374,19483.3757,20358.72074,20195.04365,20502.10353,19902.95449,18946.08094,18810.99296,..,..,..,..,..,
Australia,..,..,..,..,..,10449.84372,10455.12396,10972.23386,11335.40293,11881.44891,12483.29292,12553.29311,12811.07227,12952.79373,13138.91218,13133.50431,13354.26055,13661.80216,13624.83477,14043.36517,14308.20769,14559.65158,14772.76816,14243.40463,14741.70938,15315.87218,15736.67985,15873.94982,16421.64669,16743.03421,17146.57458,16820.25695,16625.23128,17072.83772,17586.02632,18127.42487,18624.34029,19135.41289,19789.18357,20581.71555,21151.29985,21264.49747,21804.77408,22226.55809,22849.17933,23181.00066,23526.7708,23871.1266,24334.68891,
Austria,7478.5929,7849.322525,8008.633627,8291.212065,8746.555254,9001.048921,9440.003223,9684.208859,10084.3342,10685.28357,11349.52265,11875.46035,12528.70382,13066.20611,13561.74988,13526.92111,14153.5486,14848.68387,14838.75472,15654.59433,15927.4924,15879.30705,16169.23938,16695.17974,16705.30547,17108.84507,17482.0495,17698.71099,18153.73914,18743.13915,19323.63941,19743.34096,20158.39403,19860.68585,20300.18866,20751.98411,21183.04362,21616.61552,22361.95189,23051.88239,23865.45762,23895.85891,24167.45301,24258.54518,24702.67799,25231.87178,25928.561,26664.20178,27017.46224,
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1250.740045,1222.853754,932.2568554,706.0969395,559.3831564,487.726356,489.1025825,512.518977,558.4274126,594.4920442,655.1027308,714.4006283,784.2533612,865.5076344,945.4805647,1182.918429,1573.642156,1945.63752,2131.228669,
Bahamas,9455.883842,9952.598453,10445.31463,10973.25236,11544.26016,12907.28634,13469.98166,14159.57438,14771.68487,15551.28493,14234.87257,14096.59931,13305.69991,14032.28252,11459.85058,9572.87162,9864.331087,10542.36383,11780.41794,14540.28239,15152.48173,13458.33053,14049.11562,14243.10718,15925.02615,16364.87467,16349.08128,16539.38137,16629.41161,17438.10714,16849.1878,15840.67206,14940.68595,14696.10819,14871.31538,15240.01623,15607.75669,16363.36734,17344.28593,17647.01361,18136.4267,17834.69103,17957.13414,17302.2825,17057.24011,17407.9207,17990.51086,18264.16796,..,
Bahrain,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11479.34672,10452.2852,9325.053145,9593.33227,9744.594115,8970.125045,8763.998975,9338.700179,9643.587772,9343.694749,9426.689436,10134.37239,10456.58642,11427.14724,11056.23033,11169.82107,11329.81465,11401.76876,11677.95068,11910.26205,12262.37499,12538.22471,12900.55581,13518.90334,13958.98935,14719.48125,15368.76883,16298.95073,16967.80233,
Bangladesh,235.6860717,244.2785622,251.6699598,244.6792551,265.0511392,262.8316482,262.9970662,251.6764513,268.6477816,265.0199152,272.7189509,251.0791954,210.3333605,211.5947613,225.7471871,210.7694794,216.7912736,216.6886551,225.8776765,230.4627167,226.2112317,228.6176547,227.9087213,230.9137902,236.7015041,238.2760312,242.4098133,245.553653,245.1221749,245.9252735,254.8806176,257.8236664,265.2386213,271.7842951,277.2810562,285.2466249,292.6637557,302.5535936,312.3997396,321.5857053,334.5732446,346.020152,355.0815376,367.4835477,384.1919403,400.7032405,420.8331757,441.3836508,462.1229976,
Barbados,3380.335487,3629.332642,3942.535004,3725.652276,3895.338449,4324.781769,4484.590982,4949.137222,5278.561032,5658.19284,6171.650029,6380.445882,6422.964204,6467.926012,6131.001968,6345.55558,6317.167642,6576.018451,6964.165164,7480.766119,7811.855716,7534.186066,7127.581767,7108.437549,7312.753606,7314.781657,7965.48613,8007.396216,8469.458465,8864.075721,8418.07773,8164.229941,7758.764685,7845.898237,8178.238202,8329.86432,8523.170955,9120.598665,9552.283779,9849.465131,10168.04705,9971.084177,9761.015224,..,..,..,..,..,..,
