Total population,1700,1730,1750,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,3280000.00,,,,,,,,,,,,,,,,,,,,3280000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4207000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5730000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8151455.00,8276820.00,8407148.00,8542906.00,8684494.00,8832253.00,8986449.00,9147286.00,9314915.00,9489453.00,9671046.00,9859928.00,10056480.00,10261254.00,10474903.00,10697983.00,10927724.00,11163656.00,11411022.00,11676990.00,11964906.00,12273101.00,12593688.00,12915499.00,13223928.00,13505544.00,13766792.00,14003408.00,14179656.00,14249493.00,14185729.00,13984092.00,13672870.00,13300056.00,12931791.00,12625292.00,12372113.00,12183387.00,12156685.00,12414686.00,13032161.00,14069854.00,15472076.00,17053213.00,18553819.00,19789880.00,20684982.00,21299350.00,21752257.00,22227543.00,22856302.00,23677385.00,24639841.00,25678639.00,26693486.00,27614718.00,28420974.00,29145841.00,29839994.00,30577756.00,31411743.00,32358260.00,33397058.00,34499915.00
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,3710.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15700.00,,,15700.00,,,,,
Albania,300000.00,,,,,,,,,,,,,,,,,,410445.00,,,,,,,,,,,,,,,,,,,,437000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.00,,,,,,,,,,,,,,,,,,,,603000.00,,,,,,,,,,,,,,,,,,,,726000.00,,,,,,,,,,800000.00,,,,,,,,,,874000.00,,,898000.00,,,,,,,932000.00,937000.00,942000.00,947000.00,952000.00,956000.00,962000.00,967000.00,972000.00,977000.00,982000.00,988000.00,993000.00,998000.00,1003000.00,1009000.00,1014000.00,1030000.00,1040000.00,1070000.00,1088000.00,1100000.00,1117000.00,1119000.00,1122000.00,1138000.00,1154000.00,1175000.00,1192000.00,1209000.00,1215002.00,1239971.00,1269302.00,1302536.00,1339240.00,1378998.00,1421417.00,1466124.00,1512765.00,1561012.00,1610565.00,1661158.00,1712563.00,1764593.00,1817098.00,1869942.00,1922993.00,1976140.00,2029314.00,2082474.00,2135599.00,2188650.00,2241623.00,2294578.00,2347607.00,2400801.00,2454255.00,2508026.00,2562121.00,2616530.00,2671300.00,2725029.00,2777592.00,2831682.00,2891004.00,2957390.00,3033393.00,3116009.00,3194854.00,3255859.00,3289483.00,3291695.00,3266983.00,3224901.00,3179442.00,3141102.00,3112597.00,3091902.00,3079037.00,3072725.00,3071856.00,3077378.00,3089778.00,3106701.00,3124861.00,3141800.00,3156607.00,3169665.00,3181397.00,3192723.00,3204284.00,3215988.00,3227373.00,3238316.00
Algeria,1750000.00,,,,,,,,,,,,,,,,,,2503218.00,,,,,,,,,,,,,,,,,,,,2689000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3776000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5497000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8752997.00,8953373.00,9140990.00,9326099.00,9515990.00,9715002.00,9924347.00,10142284.00,10364614.00,10585506.00,10799997.00,11006643.00,11209845.00,11420845.00,11654905.00,11923002.00,12229853.00,12572629.00,12945462.00,13338918.00,13746185.00,14165889.00,14600659.00,15052371.00,15524137.00,16018195.00,16533323.00,17068212.00,17624756.00,18205468.00,18811199.00,19442423.00,20095648.00,20762767.00,21433070.00,22098298.00,22753511.00,23398470.00,24035237.00,24668100.00,25299182.00,25930560.00,26557969.00,27169903.00,27751086.00,28291591.00,28786855.00,29242917.00,29673694.00,30099010.00,30533827.00,30982214.00,31441848.00,31913462.00,32396048.00,32888449.00,33391954.00,33906605.00,34428028.00,34950168.00,35468208.00,35980193.00,36485828.00,36983924.00
American Samoa,7427.00,,,,,,,,,,,,,,,,,,8170.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700.00,,,,,,,,,,,,7300.00,,,,,,,,8100.00,,,,,,,,,,10000.00,,,,,,,,,,13000.00,,,,,,,,,,18937.00,19287.00,19525.00,19659.00,19706.00,19688.00,19640.00,19603.00,19624.00,19757.00,20041.00,20500.00,21124.00,21870.00,22672.00,23480.00,24283.00,25087.00,25869.00,26608.00,27288.00,27907.00,28470.00,28983.00,29453.00,29897.00,30305.00,30696.00,31139.00,31727.00,32526.00,33557.00,34797.00,36203.00,37706.00,39253.00,40834.00,42446.00,44048.00,45595.00,47052.00,48402.00,49648.00,50801.00,51885.00,52919.00,53901.00,54834.00,55745.00,56667.00,57625.00,58633.00,59687.00,60774.00,61871.00,62962.00,64045.00,65130.00,66217.00,67312.00,68420.00,69543.00,70680.00,71834.00
Andorra,,,,,,,,,,,,,,,,,,,2654.00,,,,,,,,,,,,,,,,,,,,2654.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6197.00,6692.00,7247.00,7856.00,8514.00,9217.00,9964.00,10754.00,11585.00,12460.00,13377.00,14337.00,15337.00,16373.00,17438.00,18529.00,19640.00,20772.00,21931.00,23127.00,24364.00,25656.00,26997.00,28357.00,29688.00,30967.00,32156.00,33279.00,34432.00,35753.00,37328.00,39226.00,41390.00,43636.00,45702.00,47414.00,48653.00,49504.00,50236.00,51241.00,52773.00,54996.00,57767.00,60670.00,63111.00,64699.00,65227.00,64905.00,64246.00,63985.00,64634.00,66390.00,69043.00,72203.00,75292.00,77888.00,79874.00,81390.00,82577.00,83677.00,84864.00,86165.00,87518.00,88909.00
Angola,,,,,,,,,,,,,,,,,,,1567028.00,,,,,,,,,,,,,,,,,,,,1567028.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3738000.00,,,,,,,,,,4147509.00,4219332.00,4296534.00,4376947.00,4458962.00,4541519.00,4624143.00,4706909.00,4790376.00,4875462.00,4963068.00,5053693.00,5147083.00,5242084.00,5337063.00,5431135.00,5524090.00,5617242.00,5713156.00,5815282.00,5926333.00,6047736.00,6179685.00,6322194.00,6474796.00,6637419.00,6808850.00,6989988.00,7185188.00,7400231.00,7638420.00,7903368.00,8191774.00,8491682.00,8786652.00,9065562.00,9322550.00,9562796.00,9799680.00,10052567.00,10335052.00,10653515.00,11002910.00,11371750.00,11742960.00,12105105.00,12452725.00,12792237.00,13138265.00,13511575.00,13926373.00,14388244.00,14890474.00,15419943.00,15957460.00,16489021.00,17010366.00,17525367.00,18037964.00,18555115.00,19081912.00,19618432.00,20162517.00,20714494.00
Anguilla,,,,,,,,,,,,,,,,,,,2025.00,,,,,,,,,,,,,,,,,,,,2025.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5121.00,5297.00,5438.00,5549.00,5635.00,5697.00,5743.00,5777.00,5805.00,5831.00,5863.00,5901.00,5948.00,6001.00,6057.00,6114.00,6171.00,6228.00,6287.00,6344.00,6400.00,6454.00,6506.00,6554.00,6596.00,6630.00,6662.00,6691.00,6713.00,6716.00,6698.00,6651.00,6586.00,6536.00,6551.00,6661.00,6881.00,7197.00,7575.00,7964.00,8332.00,8669.00,8985.00,9277.00,9549.00,9805.00,10036.00,10244.00,10461.00,10727.00,11068.00,11498.00,12003.00,12548.00,13083.00,13574.00,14008.00,14393.00,14737.00,15055.00,15358.00,15645.00,15911.00,16158.00
